City,Country,Temperature (F),Latitude,Longtitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
baiyin,CN,62.6,36.55,104.13,100,0,4.47
sept-iles,CA,70.84,50.2,-66.38,68,32,4.16
mecca,SA,98.6,21.43,39.83,32,0,2.59
nikolskoye,RU,68.0,59.7,30.79,64,40,4.47
axim,GH,76.51,4.87,-2.24,100,80,12.21
dikson,RU,45.46,73.51,80.55,88,20,10.31
tecoanapa,MX,87.8,16.99,-99.26,70,40,4.7
zhezkazgan,KZ,69.67,47.8,67.71,46,20,9.98
kavieng,PG,81.01,-2.57,150.8,100,44,3.6
san lawrenz,MT,80.6,36.06,14.2,74,20,5.82
yulara,AU,39.2,-25.24,130.99,60,0,3.36
strezhevoy,RU,48.2,60.73,77.6,87,0,8.95
opuwo,NA,62.74,-18.06,13.84,45,0,3.6
wajir,KE,79.66,1.75,40.07,58,20,16.69
nicoya,CR,89.6,10.15,-85.45,55,75,3.36
grodzisk wielkopolski,PL,75.22,52.23,16.36,68,0,2.24
thompson,CA,73.36,55.74,-97.86,69,32,7.4
guerrero negro,MX,84.61,27.97,-114.04,54,8,12.66
nome,US,84.36,30.04,-94.42,88,90,6.93
kanye,BW,64.81,-24.98,25.34,35,64,11.32
iqaluit,CA,47.44,63.75,-68.52,70,68,8.3
burica,0,0.0,0.0,0.0,0,0,0.0
arlit,NE,90.01,18.74,7.39,42,56,6.96
seoul,KR,80.6,37.57,126.98,83,75,1.12
nowy dwor gdanski,PL,69.8,54.21,19.12,83,0,4.7
constitucion,MX,80.6,23.99,-104.67,21,75,16.11
wanning,AT,82.4,48.64,13.53,54,75,3.36
tautira,PF,82.4,-17.73,-149.15,69,75,17.22
saint pete beach,US,91.15,27.73,-82.74,52,75,4.7
pipri,IN,72.91,24.21,83.02,95,80,5.17
mogadishu,SO,77.41,2.04,45.34,99,92,15.46
mkushi,ZM,52.93,-13.61,29.4,61,0,4.72
sabang,PH,77.23,13.72,123.58,100,64,9.98
jiayuguan,CN,61.03,39.77,98.29,74,80,2.71
faanui,PF,78.22,-16.48,-151.75,100,68,16.24
luderitz,NA,52.03,-26.65,15.16,91,0,6.17
kondoa,TZ,59.77,-4.91,35.78,65,0,8.52
dunedin,NZ,28.09,-45.87,170.5,82,12,2.82
fomboni,KM,78.94,-12.28,43.74,97,0,7.4
chuy,UY,55.45,-33.69,-53.46,95,88,13.0
port hardy,CA,65.98,50.7,-127.42,81,8,1.92
shimoda,JP,80.6,34.7,138.93,94,75,3.36
avarua,CK,73.4,-21.21,-159.78,88,75,20.8
samarai,PG,78.13,-10.62,150.67,99,88,17.69
edson,CA,70.21,53.59,-116.44,50,24,5.61
vaitupu,0,0.0,0.0,0.0,0,0,0.0
chumikan,RU,57.16,54.72,135.31,89,0,2.59
buritis,BR,82.81,-15.62,-46.42,37,36,2.59
takoradi,GH,75.79,4.89,-1.75,100,56,9.98
kloulklubed,PW,80.6,7.04,134.26,83,90,9.17
samusu,0,0.0,0.0,0.0,0,0,0.0
elko,US,84.2,40.83,-115.76,14,1,13.87
ixtapa,MX,87.8,20.71,-105.21,66,40,12.75
sentyabrskiy,0,0.0,0.0,0.0,0,0,0.0
sisimiut,GL,43.48,66.94,-53.67,97,92,1.81
lazurne,UA,73.09,46.77,34.99,54,0,4.72
chokurdakh,RU,39.34,70.62,147.9,84,8,11.43
charters towers,AU,55.9,-20.07,146.27,92,44,3.38
thunder bay,CA,69.13,48.41,-89.26,94,92,8.52
ilulissat,GL,55.4,69.22,-51.1,50,75,3.27
port augusta,AU,57.2,-32.49,137.76,33,0,28.86
san pedro,AR,58.42,-33.68,-59.66,59,0,4.05
malumfashi,NG,78.58,11.79,7.62,72,76,8.75
juneau,US,66.6,58.3,-134.42,60,90,11.41
lavrentiya,RU,45.01,65.58,-170.99,100,36,8.63
lagoa,PT,82.4,37.14,-8.45,54,20,5.82
fortuna,ES,85.23,38.18,-1.13,58,0,3.36
lorengau,PG,80.11,-2.02,147.27,100,12,4.72
marfino,RU,68.47,56.07,37.56,68,0,8.95
aden,YE,79.75,12.79,45.03,91,32,2.15
bargal,0,0.0,0.0,0.0,0,0,0.0
havelock,US,79.02,34.88,-76.9,94,75,6.93
baikunthpur,IN,69.31,23.26,82.56,95,36,3.27
aflu,0,0.0,0.0,0.0,0,0,0.0
bluff,AU,53.74,-23.58,149.07,88,0,4.16
sao joao da barra,BR,78.8,-21.64,-41.05,69,40,6.93
vysokogornyy,RU,51.76,50.1,139.13,85,0,2.15
kurchum,KZ,61.57,48.57,83.65,100,48,3.38
lulea,SE,68.0,65.58,22.15,45,36,6.93
alekseyevsk,RU,40.24,57.84,108.35,88,0,2.71
kenai,US,64.44,60.55,-151.26,63,1,5.82
tunduru,0,0.0,0.0,0.0,0,0,0.0
moralillo,MX,82.4,22.23,-97.91,69,75,13.87
manokwari,ID,81.46,-0.87,134.08,100,92,8.41
broken hill,AU,49.24,-31.97,141.45,60,0,18.25
panalingaan,PH,79.66,8.78,117.42,95,88,13.78
ajdabiya,LY,81.19,30.75,20.22,58,0,10.42
benguela,AO,65.71,-12.58,13.4,99,8,5.84
ossora,RU,52.57,59.24,163.07,100,88,5.73
port blair,IN,81.01,11.67,92.75,100,80,24.29
makakilo city,US,80.6,21.35,-158.09,65,40,10.29
policarpa,CO,73.4,1.63,-77.46,60,40,8.05
yellowknife,CA,57.61,62.45,-114.38,84,8,4.16
bac lieu,0,0.0,0.0,0.0,0,0,0.0
san quintin,PH,69.22,17.54,120.52,88,12,3.6
kuche,0,0.0,0.0,0.0,0,0,0.0
severo-kurilsk,RU,51.04,50.68,156.12,100,24,4.83
bengkulu,0,0.0,0.0,0.0,0,0,0.0
egvekinot,RU,50.23,66.32,-179.17,48,12,3.27
tunceli,TR,74.21,39.11,39.55,30,0,6.93
saint anthony,US,76.41,43.97,-111.68,16,1,8.05
banepa,NP,69.8,27.63,85.52,100,75,4.7
nabire,ID,66.88,-3.36,135.5,93,64,1.92
batagay,RU,60.76,67.65,134.64,82,12,2.93
marawi,PH,67.78,8.0,124.29,100,92,2.93
muskogee,US,92.07,35.75,-95.37,41,1,10.29
okhotsk,RU,61.75,59.36,143.24,84,0,5.95
te anau,NZ,32.23,-45.41,167.72,92,64,3.6
baijiantan,CN,76.42,45.63,85.18,32,92,3.94
venezuela,CU,86.14,21.74,-78.8,84,36,13.67
yuty,PY,60.67,-26.61,-56.25,61,48,3.94
at-bashi,KG,40.51,41.17,75.81,79,0,1.36
parnamirim,BR,82.4,-5.92,-35.27,61,20,18.34
yar-sale,RU,44.47,66.83,70.83,100,8,22.84
bafra,0,0.0,0.0,0.0,0,0,0.0
bowen,AU,53.6,-20.01,148.25,100,40,13.44
talnakh,RU,45.46,69.49,88.39,80,64,6.73
oga,NG,73.9,8.18,5.65,90,44,6.4
tabou,CI,78.22,4.42,-7.36,100,0,13.22
lask,PL,71.6,51.59,19.13,73,0,2.24
tara,JP,79.7,33.0,130.15,74,0,2.24
namibe,AO,65.26,-15.19,12.15,98,0,15.01
imbituba,BR,69.8,-28.24,-48.67,77,20,6.93
west bay,GB,76.33,50.71,-2.76,57,20,4.7
rocha,UY,54.01,-34.48,-54.34,95,64,10.98
acuna,0,0.0,0.0,0.0,0,0,0.0
ngukurr,0,0.0,0.0,0.0,0,0,0.0
laguna,MX,95.0,27.52,-110.01,41,75,6.93
grindavik,IS,56.48,63.84,-22.43,71,40,9.17
yabrud,SY,78.8,33.97,36.66,54,0,18.34
palana,RU,51.4,59.08,159.95,98,88,4.16
beipiao,CN,71.74,41.8,120.76,88,88,6.73
tailai,CN,60.58,46.39,123.41,96,0,7.4
khatanga,RU,43.12,71.98,102.47,93,0,11.65
geraldton,CA,77.41,49.72,-86.95,66,8,11.65
kamenka,RU,69.85,53.19,44.05,60,32,3.6
meulaboh,ID,77.32,4.14,96.13,100,64,4.61
itupiranga,BR,96.8,-5.13,-49.33,41,20,6.93
china,MX,99.19,25.71,-99.24,32,0,19.82
beira,ES,76.06,43.2,-8.36,78,0,5.82
norman wells,CA,59.77,65.28,-126.83,72,88,3.94
zamora,ES,78.8,41.51,-5.74,36,0,4.7
todos santos,MX,93.81,23.45,-110.23,41,5,18.34
fairbanks,US,61.97,64.84,-147.72,72,90,4.7
hovd,NO,58.93,63.83,10.7,82,75,12.75
malwan,0,0.0,0.0,0.0,0,0,0.0
bulolo,PG,62.38,-7.2,146.64,99,92,1.7
san lorenzo,HN,89.29,13.43,-87.45,73,32,2.71
birjand,IR,78.8,32.86,59.22,19,0,9.17
naze,NG,77.0,5.43,7.07,88,75,6.93
mosbach,DE,80.6,49.35,9.15,44,75,1.12
porto novo,BR,73.4,-23.68,-45.44,60,40,9.17
eston,CA,72.55,51.15,-108.75,60,76,15.01
broome,GB,67.73,52.47,1.45,77,0,3.36
nusaybin,TR,86.0,37.08,41.21,22,0,2.24
seymchan,RU,54.37,62.93,152.39,96,68,7.63
loa janan,ID,74.53,-0.58,117.09,91,0,4.05
rio verde de mato grosso,BR,71.2,-18.92,-54.84,70,68,10.2
grand river south east,0,0.0,0.0,0.0,0,0,0.0
yumen,CN,68.32,40.29,97.04,54,48,7.74
tagusao,PH,79.66,9.19,117.81,95,88,13.78
kutum,SD,69.04,14.2,24.66,90,80,4.94
quatre cocos,MU,73.4,-20.21,57.76,69,20,6.93
korla,0,0.0,0.0,0.0,0,0,0.0
saleaula,0,0.0,0.0,0.0,0,0,0.0
hambantota,LK,80.92,6.12,81.12,96,20,16.69
xining,CN,51.31,36.62,101.77,100,44,2.59
kingman,US,107.56,35.19,-114.05,22,1,14.99
palmer,AU,57.2,-34.85,139.16,33,0,17.22
olafsvik,0,0.0,0.0,0.0,0,0,0.0
srednekolymsk,RU,50.86,67.46,153.71,69,0,3.94
sioux lookout,CA,82.72,50.1,-91.92,59,68,6.4
nalagarh,IN,70.84,31.04,76.72,98,44,2.93
sindand,0,0.0,0.0,0.0,0,0,0.0
louisbourg,0,0.0,0.0,0.0,0,0,0.0
abu kamal,SY,85.87,34.45,40.92,31,0,8.41
mayo,CA,61.21,63.59,-135.9,73,88,3.38
santa rosa,AR,59.23,-36.62,-64.29,39,12,8.63
jacmel,HT,91.4,18.24,-72.54,55,20,8.05
burpengary,AU,43.3,-27.16,152.97,71,0,2.71
zolotinka,0,0.0,0.0,0.0,0,0,0.0
havoysund,NO,51.8,71.0,24.66,100,92,4.7
finote selam,ET,51.76,10.7,37.27,96,12,2.82
nizhneangarsk,RU,48.07,55.78,109.57,94,0,5.06
nanortalik,GL,43.3,60.14,-45.24,100,92,3.6
aguimes,ES,75.2,27.91,-15.45,73,20,27.51
masuguru,MZ,76.87,-11.38,38.46,59,0,9.42
goma,CD,60.31,-1.67,29.23,97,68,4.27
fare,PF,78.67,-16.7,-151.02,100,92,16.24
ostrovnoy,RU,48.52,68.05,39.51,70,80,9.19
blyth,GB,63.28,55.12,-1.5,77,0,9.17
podgorenskiy,RU,68.32,50.4,39.64,65,0,6.62
sabha,LY,86.23,27.03,14.43,22,0,8.75
puerto baquerizo moreno,EC,75.2,-0.9,-89.6,73,75,13.87
marzuq,YE,69.76,14.4,46.47,66,88,3.6
mana,RS,67.06,43.52,20.24,88,0,2.24
itarema,BR,83.26,-2.92,-39.92,59,0,15.35
den helder,NL,66.78,52.96,4.76,82,75,9.17
yanam,IN,76.24,16.73,82.22,92,76,14.45
east london,ZA,65.89,-33.02,27.91,100,0,23.29
buraydah,SA,100.4,26.33,43.97,19,0,4.7
rabo de peixe,PT,73.4,37.8,-25.58,73,20,11.41
husavik,CA,79.12,50.56,-96.99,73,92,11.54
cabo san lucas,MX,93.34,22.89,-109.91,49,40,16.11
provideniya,RU,47.62,64.42,-173.23,100,92,17.69
lobito,AO,63.91,-12.35,13.55,90,36,1.81
oktyabrskoye,RU,55.99,56.73,85.44,95,76,5.5
shellbrook,CA,76.69,53.22,-106.39,66,24,10.65
yialos,0,0.0,0.0,0.0,0,0,0.0
muscat,OM,91.4,23.6,58.55,55,80,4.7
mount gambier,AU,52.57,-37.83,140.78,68,88,11.65
flinders,AU,44.6,-34.58,150.85,75,0,8.05
banmo,0,0.0,0.0,0.0,0,0,0.0
marathon,CA,66.07,48.72,-86.38,83,68,12.21
pallasovka,RU,67.33,50.04,46.89,84,36,4.72
kankon,IN,77.14,15.02,74.02,100,92,12.77
mys shmidta,0,0.0,0.0,0.0,0,0,0.0
shelburne,CA,82.54,44.08,-80.2,57,8,9.42
bathsheba,BB,84.2,13.22,-59.52,74,75,18.34
achinsk,RU,51.85,56.27,90.5,84,0,3.6
endicott,US,82.4,42.1,-76.05,45,1,10.29
san cristobal,EC,64.4,-0.39,-78.55,48,40,10.29
cidreira,BR,58.42,-30.17,-50.22,100,92,9.53
kristiinankaupunki,0,0.0,0.0,0.0,0,0,0.0
zhigansk,RU,49.06,66.77,123.37,97,92,11.1
kamaishi,JP,69.67,39.28,141.86,92,44,3.6
bichena,ET,56.98,10.45,38.2,93,80,1.59
katangli,RU,52.66,51.71,143.23,97,88,1.48
farafangana,MG,68.14,-22.82,47.83,100,44,2.26
ambulu,ID,69.67,-8.35,113.61,100,8,5.17
charleville-mezieres,FR,71.6,49.77,4.72,68,0,12.1
mahadday weyne,0,0.0,0.0,0.0,0,0,0.0
rungata,0,0.0,0.0,0.0,0,0,0.0
bambous virieux,MU,73.4,-20.34,57.76,69,20,6.93
bubaque,GW,80.6,11.28,-15.83,78,40,8.05
coquimbo,CL,57.2,-29.95,-71.34,71,20,14.99
lerik,AZ,70.75,38.78,48.42,73,40,1.48
abu samrah,SY,77.68,35.3,37.18,65,0,8.75
beringovskiy,RU,47.26,63.05,179.32,100,92,20.49
labuan,BN,79.68,5.28,115.24,94,75,9.75
shubarkuduk,KZ,69.94,49.15,56.49,70,68,2.93
thohoyandou,ZA,50.86,-22.97,30.46,84,0,2.26
hanchuan,CN,80.6,30.65,113.83,88,0,4.47
kosa,RU,46.45,59.94,54.99,80,0,4.94
la libertad,PE,57.2,-16.38,-71.56,28,40,12.75
lanciano,IT,78.8,42.23,14.39,83,0,4.7
santa cruz del norte,CU,86.85,23.15,-81.92,59,40,5.82
staryy nadym,RU,49.78,65.61,72.68,63,32,19.82
xai-xai,MZ,71.2,-25.04,33.64,89,0,13.33
dire,ET,57.2,9.18,38.92,100,75,4.7
reconquista,AR,59.23,-29.14,-59.64,69,0,5.06
ochakiv,UA,75.2,46.61,31.55,53,0,4.47
hamilton,CA,81.82,43.26,-79.87,72,0,9.98
fort william,GB,52.39,56.82,-5.11,100,92,4.61
pemangkat,0,0.0,0.0,0.0,0,0,0.0
sungaipenuh,ID,66.61,-2.08,101.38,95,80,0.13
victoria,BN,79.56,5.28,115.24,94,75,9.75
matagami,NG,68.59,9.67,8.4,98,92,3.15
mahibadhoo,MV,82.63,3.78,72.97,100,36,6.4
rosetta,EG,82.4,31.4,30.42,69,0,9.17
san nicolas,HN,72.82,14.94,-88.33,96,88,2.59
madingou,CG,71.92,-4.17,13.56,86,20,2.59
lindi,TZ,70.66,-10.0,39.71,65,0,4.72
brae,GB,54.39,60.4,-1.35,82,76,18.34
cross lanes,GB,62.87,50.05,-5.22,93,75,8.05
blairmore,CA,58.33,49.61,-114.44,54,80,2.59
zaliznychne,UA,73.4,47.65,36.17,56,0,2.24
labuhan,ID,67.15,-2.54,115.51,96,8,2.04
trimbak,IN,68.32,19.93,73.53,97,92,8.63
yanchukan,0,0.0,0.0,0.0,0,0,0.0
yeppoon,AU,59.0,-23.13,150.74,93,75,2.24
bonavista,CA,61.84,48.65,-53.11,86,76,14.34
khelyulya,RU,67.87,61.73,30.68,84,68,10.2
ulaanbaatar,MN,68.0,47.92,106.92,60,20,20.13
kasempa,ZM,57.07,-13.46,25.83,44,0,6.17
qaqortoq,GL,51.8,60.72,-46.03,71,75,8.05
kryry,PL,71.67,50.01,18.81,88,0,2.24
raudeberg,NO,59.0,61.99,5.14,72,92,16.11
indianola,US,89.6,40.24,-100.42,46,1,5.82
ulladulla,AU,44.6,-35.36,150.48,75,20,8.05
katherine,AU,73.4,-14.47,132.26,60,0,5.82
arbagar,RU,56.44,51.94,116.28,91,56,2.71
aswan,EG,89.29,24.09,32.9,25,0,11.21
russell,AR,60.8,-33.01,-68.8,41,0,6.93
fukue,JP,80.6,35.03,136.69,94,20,4.7
pergamino,AR,58.15,-33.9,-60.57,48,0,2.93
umea,SE,62.6,63.83,20.26,72,0,4.7
raahe,FI,68.0,64.68,24.47,72,24,10.29
rundu,NA,75.16,-17.91,19.77,38,100,3.6
burnie,AU,53.83,-41.05,145.91,97,92,22.62
pangnirtung,CA,45.28,66.15,-65.72,89,48,5.17
gijon,ES,69.8,43.54,-5.66,94,75,2.24
saint-augustin,FR,80.42,44.83,-0.61,48,0,8.05
alice springs,AU,57.2,-23.7,133.88,20,0,10.29
ingham,AU,69.31,-18.65,146.16,98,8,9.19
winslow,GB,74.35,51.94,-0.88,60,0,8.05
talcahuano,CL,53.6,-36.72,-73.12,76,0,3.36
carmen,PH,71.11,7.2,124.8,95,64,1.92
tayu,JP,80.6,35.06,136.67,94,20,4.7
kruisfontein,ZA,55.81,-34.0,24.73,100,92,13.33
paamiut,GL,42.22,61.99,-49.67,93,92,22.95
bambanglipuro,ID,60.04,-7.95,110.28,97,0,2.59
souillac,FR,88.39,45.6,-0.6,31,0,6.93
tolaga bay,NZ,53.74,-38.37,178.3,95,92,19.93
pandan,PH,77.59,11.72,122.09,100,88,19.26
tabas,IR,73.99,33.6,56.92,26,0,4.72
san andres,PH,78.04,13.32,122.68,100,92,17.47
tkvarcheli,0,0.0,0.0,0.0,0,0,0.0
kati,ML,73.4,12.75,-8.07,94,20,3.36
lermontovka,RU,58.51,47.15,134.34,89,56,2.93
lompoc,US,78.4,34.64,-120.46,18,1,13.87
upington,ZA,50.0,-28.46,21.24,59,0,5.82
berlevag,NO,53.83,70.86,29.09,98,80,2.93
santa eulalia del rio,0,0.0,0.0,0.0,0,0,0.0
toliary,0,0.0,0.0,0.0,0,0,0.0
kholtoson,RU,56.08,50.3,103.31,99,92,3.15
byron bay,AU,48.2,-28.65,153.62,93,0,1.92
conceicao do araguaia,BR,89.74,-8.26,-49.26,37,0,4.05
cockburn town,TC,82.99,21.46,-71.14,96,0,20.15
ponta delgada,PT,73.4,37.73,-25.67,73,20,11.41
riyadh,SA,95.0,24.63,46.72,11,0,3.36
panukulan,PH,78.31,14.93,121.81,100,76,6.17
necochea,AR,52.66,-38.55,-58.74,73,0,2.82
